route_type;case;origin_destination;departure_time;player;itinerary;leg;duration_leg;modal;line;fare;itinerary_duration
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;1;4;840;SUBWAY;METRÔ L4;765;4070
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;1;5;586;WALK;;765;4070
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;2;1;46;WALK;;765;4257
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;2;2;906;BUS;3732-10;765;4257
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;2;3;9;WALK;;765;4257
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;2;4;1080;RAIL;CPTM L11;765;4257
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;2;5;248;WALK;;765;4257
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;2;6;840;SUBWAY;METRÔ L4;765;4257
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;2;7;586;WALK;;765;4257
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;3;1;531;WALK;;765;4236
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;3;2;1440;RAIL;CPTM L11;765;4236
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;3;3;248;WALK;;765;4236
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;3;4;560;SUBWAY;METRÔ L4;765;4236
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;3;5;106;WALK;;765;4236
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;3;6;372;BUS;857R-10;765;4236
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;3;7;146;WALK;;765;4236
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;4;1;24;WALK;;430;6978
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;4;2;852;BUS;3020-10;430;6978
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;4;3;123;WALK;;430;6978
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;4;4;1239;BUS;4310-10;430;6978
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;4;5;1653;BUS;3459-10;430;6978
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;4;6;1984;BUS;702U-10;430;6978
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;4;7;133;WALK;;430;6978
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;1;1;136;WALK;;765;5171
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;1;2;1898;BUS;9354-10;765;5171
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;1;3;455;WALK;;765;5171
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;1;4;840;SUBWAY;METRÔ L4;765;5171
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;1;5;0;WALK;;765;5171
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;1;6;720;RAIL;CPTM L09;765;5171
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;1;7;494;WALK;;765;5171
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;2;1;152;WALK;;430;6355
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;2;2;3950;BUS;967A-10;430;6355
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;2;3;1504;BUS;709A-10;430;6355
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;3;1;493;WALK;;430;5262
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;3;2;896;BUS;9784-10;430;5262
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;3;3;138;WALK;;430;5262
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;3;4;1240;BUS;209P-10;430;5262
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;3;5;42;WALK;;430;5262
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;3;6;1752;BUS;847P-10;430;5262
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;3;7;87;WALK;;430;5262
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;3;8;260;BUS;607C-10;430;5262
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;4;1;136;WALK;;2495;5095
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;4;2;1296;BUS;177H-10;2495;5095
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;4;3;4;WALK;;2495;5095
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;4;4;1153;BUS;282;2495;5095
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;4;5;556;WALK;;2495;5095
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;4;6;540;RAIL;CPTM L09;2495;5095
NS;2;"-23.498320,-46.655980;-23.606884,-46.693306";08-30-2019 08:07;Google;4;7;494;WALK;;2495;5095
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;1;1;165;WALK;;748;6754
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;1;2;1055;BUS;2705-10;748;6754
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;1;3;108;WALK;;748;6754
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;1;4;2280;SUBWAY;METRÔ L3;748;6754
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;1;5;0;WALK;;748;6754
